2024-2025学年第二学期全校总课表（部分）,,,,,,,,,,,,,,,
开课学院,课程名称,课程性质,教学班名称,课程号,学分,任课教师,课堂容量,已选人数,上课时间,教学地点,合班信息,起始结束周,课程归属,总学时,课程类别
财税学院,公共支出学,必修课,(2024-2025-2)-80305-01A,80305,3.0,金峰峰,45,0,星期一第8-8节{1-16周},J6-104,23财政1,1-16周,无,16,专业课
财税学院,政府管制,专业选修课,(2024-2025-2)-83428-01,83428,2.0,金峰峰,135,0,星期一第1-1节{1-16周},J6-105,23财政1;23财政2;23财政3,1-16周,无,16,专业课
财税学院,政府管制,专业选修课,(2024-2025-2)-83428-01A,83428,2.0,金峰峰,134,0,星期一第2-2节{1-16周},J6-105,23财政1;23财政2;23财政3,1-16周,无,16,专业课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-07,84007,2.0,金峰峰,32,0,星期一第4-5节{1-16周},J6-104,无,1-16周,无,32,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-01,80701,2.0,李彦俊,43,0,星期二第2-2节{1-16周},J6-104,24税收3,1-16周,无,16,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-01A,80701,2.0,李彦俊,42,0,星期二第1-1节{1-16周},J6-104,24税收3,1-16周,无,16,专业课
财税学院,就业经济学,通识选修课,(2024-2025-2)-83048-01,83048,2.0,李彦俊,50,0,星期三第6-7节{1-16周},J6-104,无,1-16周,经管社科基础素养（创新创业）,32,通识课
财税学院,社会保障国际比较,必修课,(2024-2025-2)-83402-01,83402,3.0,李彦俊,37,0,星期三第1-3节{1-16周},J6-104,23社保1,1-16周,无,48,专业课
财税学院,社会保障基金管理,专业选修课,(2024-2025-2)-83403-01,83403,2.0,李彦俊,37,0,星期三第4-5节{1-16周},J6-104,23社保1,1-16周,无,32,专业课
财税学院,社会保障学,学科选修课,(2024-2025-2)-83445-01,83445,2.0,李彦俊,36,0,星期二第4-5节{1-16周},J6-104,22人力1,1-16周,无,32,专业课
财税学院,中国财税史,专业选修课,(2024-2025-2)-83430-01,83430,2.0,李媛媛,90,0,星期二第4-5节{1-16周},J6-108,23财政1;23财政2,1-16周,无,32,专业课
财税学院,政府会计,必修课,(2024-2025-2)-83772-01,83772,4.0,李媛媛,46,0,星期二第1-3节{1-16周},J6-108,22财政1,1-16周,无,48,专业课
财税学院,政府会计,必修课,(2024-2025-2)-83772-01A,83772,4.0,李媛媛,45,0,,,22财政1,1-16周,无,16,专业课
财税学院,政府会计,必修课,(2024-2025-2)-83772-02,83772,4.0,李媛媛,47,0,星期一第6-8节{1-16周},J6-108,22财政2,1-16周,无,48,专业课
财税学院,政府会计,必修课,(2024-2025-2)-83772-02A,83772,4.0,李媛媛,46,0,,,22财政2,1-16周,无,16,专业课
财税学院,政府会计,必修课,(2024-2025-2)-83772-03,83772,4.0,李媛媛,42,0,星期一第1-3节{1-16周},J6-108,22财政3,1-16周,无,48,专业课
财税学院,政府会计,必修课,(2024-2025-2)-83772-03A,83772,4.0,李媛媛,41,0,,,22财政3,1-16周,无,16,专业课
财税学院,地方政府投融资,专业选修课,(2024-2025-2)-83340-01,83340,2.0,刘央央,90,0,星期四第9-9节{1-16周},J6-101,23财政1;23财政2,1-16周,无,16,专业课
财税学院,地方政府投融资,专业选修课,(2024-2025-2)-83340-01A,83340,2.0,刘央央,89,0,星期四第10-10节{1-16周},J6-101,23财政1;23财政2,1-16周,无,16,专业课
财税学院,地方政府投融资,专业选修课,(2024-2025-2)-83340-02,83340,2.0,刘央央,46,0,星期五第4-4节{1-16周},J6-104,23财政3,1-16周,无,16,专业课
财税学院,地方政府投融资,专业选修课,(2024-2025-2)-83340-02A,83340,2.0,刘央央,45,0,星期五第5-5节{1-16周},J6-104,23财政3,1-16周,无,16,专业课
财税学院,劳动关系学,必修课,(2024-2025-2)-83381-01,83381,3.0,刘央央,37,0,星期一第8-9节{1-16周},J6-101,23社保1,1-16周,无,32,专业课
财税学院,劳动关系学,必修课,(2024-2025-2)-83381-01A,83381,3.0,刘央央,36,0,星期一第10-10节{1-16周},J6-101,23社保1,1-16周,无,16,专业课
